Id,House_Id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
73,8820901275,20140610T000000,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807
74,5416510140,20140710T000000,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000
75,3444100400,20150316T000000,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529
76,3276920270,20141105T000000,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.98700000000001,3240,35020
77,4036801170,20141013T000000,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500
78,2391600320,20150420T000000,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.39399999999999,890,5060
79,6300000287,20140609T000000,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693
80,1531000030,20150323T000000,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750
81,5104520400,20141202T000000,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363
82,7437100340,20141222T000000,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405
83,9418400240,20141028T000000,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720
84,1523059105,20150128T000000,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797
85,1133000671,20140602T000000,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203
86,4232902595,20141114T000000,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800
87,2599001200,20141103T000000,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165
88,3342103156,20140618T000000,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349
89,1332700270,20140519T000000,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025
90,3869900162,20140904T000000,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106
91,2791500270,20140522T000000,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.37200000000001,1980,7510
92,5036300431,20150311T000000,1100000.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250
93,4168000060,20150226T000000,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.321999999999996,-122.351,1350,10500
94,6021501535,20140725T000000,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500
95,6021501535,20141223T000000,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500
96,1483300570,20140908T000000,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045
97,3422049190,20150330T000000,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616
98,1099611230,20140912T000000,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.37799999999999,1160,6400
99,722079104,20140711T000000,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036
100,7338200240,20140516T000000,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065
101,1952200240,20140611T000000,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500
102,5200100125,20141027T000000,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.37200000000001,1610,3478
103,7214720075,20141212T000000,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777
104,2450000295,20141007T000000,1090000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113
105,6197800045,20140924T000000,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910
106,1328310370,20150402T000000,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162
107,546000875,20140523T000000,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005
108,3530510041,20140723T000000,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966
109,1853000400,20150305T000000,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.08200000000001,2990,35001
110,3134100116,20140827T000000,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433
111,9545230140,20140725T000000,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636
112,3362400511,20150304T000000,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.34899999999999,1380,3536
113,2525310310,20140916T000000,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656
114,6126500060,20141124T000000,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500
115,8961960160,20141028T000000,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.25299999999999,2640,8517
116,3626039325,20141121T000000,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350
117,3362400431,20140626T000000,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.34700000000001,1620,3166
118,4060000240,20140623T000000,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.24799999999999,1190,6780
119,3454800060,20150108T000000,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000
120,1695900060,20150511T000000,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.586999999999996,-122.294,1610,4040
121,7278700070,20150102T000000,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.38600000000001,2340,10856
122,6675500070,20141119T000000,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104
123,3626039187,20150406T000000,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.36399999999999,1710,6000
124,3524049083,20141104T000000,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400
125,3275860240,20140618T000000,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992
126,4389200955,20150302T000000,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275
127,4058801670,20140717T000000,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712
128,8732020310,20140717T000000,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400
129,2331300505,20140613T000000,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960
130,7853210060,20150406T000000,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748
131,3668000070,20150105T000000,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680
132,9545240070,20150428T000000,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793
133,1243100136,20140612T000000,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.696999999999996,-122.072,2480,88500
134,8929000270,20140512T000000,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.99799999999999,1690,1662
135,2767602356,20150126T000000,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285
136,921049315,20140813T000000,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265
137,3655000070,20140805T000000,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.29899999999999,1750,8140
138,4027700812,20140529T000000,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436
139,3992700335,20140707T000000,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715
140,2767603505,20140507T000000,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310
141,4232901525,20140627T000000,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.35799999999999,1170,3600
142,1777500060,20140708T000000,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.12799999999999,2820,9375
143,1432900240,20150508T000000,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579
144,6140100875,20150415T000000,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940
145,6071600370,20150227T000000,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.17399999999999,2230,8824
146,1526069017,20141203T000000,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.02600000000001,2840,87991
147,809001525,20140625T000000,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000
148,3224079105,20140806T000000,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842
149,8075400570,20141030T000000,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000
150,1994200024,20141104T000000,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599
151,3362900810,20140820T000000,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090
152,1324300398,20150409T000000,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000
153,537000445,20150331T000000,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633
154,7855801670,20150401T000000,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750
155,7920100045,20140516T000000,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,98115,47.678999999999995,-122.3,1010,5100
156,8960000030,20140728T000000,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669
157,6388930390,20141120T000000,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.17200000000001,2640,13675
158,8731900200,20140807T000000,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875
159,8029200135,20141113T000000,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.99600000000001,1160,7198
160,1081200350,20141003T000000,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180
161,84000105,20140507T000000,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680
162,3756500060,20150309T000000,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660
163,7215720160,20150304T000000,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601
164,3574800520,20140620T000000,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.22399999999999,1710,8152
165,2617300160,20140812T000000,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590
166,2558660270,20141208T000000,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.16799999999999,1640,7500
167,2009000370,20150219T000000,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,98198,47.408,-122.32700000000001,1830,9750
168,1836980160,20150324T000000,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500
169,3261020370,20140605T000000,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.23100000000001,2480,8750
170,1755700060,20140611T000000,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288
171,4330600435,20150316T000000,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7920
172,9542800700,20150102T000000,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350
173,1999700045,20140502T000000,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940
174,1762600070,20150116T000000,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
175,1687900520,20140929T000000,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335
176,7234600798,20150210T000000,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795
177,3881900445,20140709T000000,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.30799999999999,1280,2150
178,2254502445,20140530T000000,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800
179,5437810320,20141117T000000,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941
180,9158100075,20150107T000000,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.35799999999999,1540,8280
181,3830630310,20140725T000000,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183
182,8123100045,20150414T000000,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375
183,3127200041,20140613T000000,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600
184,6661200320,20140723T000000,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417
185,11510310,20140905T000000,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984
186,825059270,20141121T000000,1100000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.18799999999999,2540,10270
187,8731951370,20150415T000000,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.37899999999999,2190,8910
188,1954440060,20140505T000000,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,98074,47.62,-122.04299999999999,2030,8744
